gender,age,monthly_fee,usage_hours,logins_per_week,days_active,last_payment_amount,churn
Male,25,20.5,15.2,3,45,20.5,0
Female,30,30.0,5.5,1,60,30.0,1
Male,22,15.0,10.0,2,15,15.0,0
Female,28,25.0,8.2,3,80,0.0,1
Male,35,40.0,20.0,4,100,40.0,0
Female,26,18.5,4.5,1,10,0.0,1
Male,31,22.0,16.0,3,50,22.0,0
Female,29,27.5,6.0,2,70,27.5,1
Male,24,19.0,9.0,3,35,19.0,0
Female,33,32.0,3.0,1,90,0.0,1
Male,27,21.0,14.0,4,55,21.0,0
Female,21,17.5,7.0,2,20,17.5,0
Male,23,20.0,13.0,3,40,20.0,0
Female,34,28.0,2.0,1,95,0.0,1
Male,32,23.5,11.0,3,60,23.5,0
Female,29,26.5,5.0,2,75,26.5,1
Male,26,20.5,12.5,4,45,20.5,0
Female,31,30.0,6.5,1,85,0.0,1
Male,28,22.5,10.5,2,50,22.5,0
Female,25,19.5,4.0,2,25,0.0,1
