gender,age,monthly_fee,usage_hours,logins_per_week,days_active,last_payment_amount,churn
Male,38,31.38,13.6,5,151,8.24,0
Female,49,24.24,7.2,1,53,8.53,0
Male,40,45.77,13.4,4,67,47.41,0
Male,50,15.15,12.8,2,114,22.26,0
Male,20,23.2,24.9,4,154,39.44,1
Female,35,22.86,22.5,5,156,31.98,0
Male,42,13.69,12.1,4,113,33.82,1
Male,59,29.25,16.0,3,80,6.58,1
Male,48,37.51,18.9,5,34,11.71,0
Female,20,30.47,1.8,6,62,39.34,1
Male,57,16.28,22.5,2,121,48.54,1
Male,63,25.09,21.6,3,163,13.13,0
Male,41,10.1,12.0,6,104,13.58,0
Male,49,44.73,10.4,4,196,23.64,0
Female,64,13.38,7.6,5,23,49.19,0
Male,39,33.89,12.4,2,180,13.45,1
Female,40,49.45,2.1,3,177,20.35,0
Female,19,31.46,21.5,6,98,44.57,1
Female,44,46.96,1.9,6,187,0.15,0
Male,59,19.44,8.9,2,117,1.99,0
Female,19,40.4,23.4,4,187,30.2,1
Male,43,31.25,18.6,2,150,45.37,0
Female,34,38.82,7.8,6,67,11.94,0
Female,57,12.49,7.1,1,120,23.48,0
Female,50,15.91,1.1,3,117,22.52,0
Female,26,15.32,17.7,2,51,23.65,0
Female,60,37.49,2.2,6,61,31.13,0
Female,56,43.78,13.8,4,122,23.49,0
Female,46,39.98,24.1,6,49,22.37,1
Female,59,11.22,3.6,4,165,23.71,0
Male,43,44.69,22.5,2,149,29.54,0
Male,52,24.17,24.8,4,8,26.85,0
Female,42,25.89,2.5,5,152,42.71,1
Female,41,14.19,22.2,5,51,2.47,0
Female,30,39.5,13.4,5,147,41.67,0
Male,24,17.29,22.8,1,51,42.2,0
Female,53,32.56,14.7,2,82,14.25,0
Male,62,43.63,16.9,6,128,23.14,1
Male,37,13.57,14.1,6,79,21.93,1
Male,18,31.41,21.7,1,107,10.93,0
Male,25,19.33,18.6,4,141,19.84,0
Male,63,23.72,13.5,1,94,2.22,0
Female,33,28.96,21.8,4,148,13.89,1
Female,31,24.2,6.9,4,73,40.83,1
Female,29,35.95,4.8,3,65,14.23,0
Female,40,29.18,4.8,6,142,40.91,1
Female,32,33.37,9.0,5,54,26.58,1
Male,45,39.47,6.7,4,7,43.99,0
Female,51,32.31,23.3,3,111,28.74,0
Female,19,33.46,3.5,6,117,1.48,0
Male,49,32.58,17.8,5,98,33.77,1
Female,40,25.15,5.5,4,122,2.24,1
Male,39,23.5,22.2,4,85,22.53,1
